id,age,sex,race,educ,dipged,paeduc,maeduc,speduc,sei10,conrinc,coninc,degree,padeg,madeg,spdeg,citizen,born,year,cohort,spsei10,pasei10,masei10,childs,immcrime,abany,abdefect,abhlth,abnomore,abpoor,abrape,absingle,accptoth,acqntsex,actassoc,actlaw,adults,advfront,affctlaw,affrmact,aged,aidscndm,aidslook,amancstr,ambetter,ambornin,amchrstn,amcit,amcitizn,amcult,amenglsh,amfeel,amgovt,amlived,amownway,amproud1,amshamed,amsports,amtv,arthrtis,astrolgy,astrosci,attend,attrally,avoidbuy,babies,backpain,balneg,balpos,befair,belikeus,bettrlfe,betrlang,bible,bigbang,boyorgrl,buypol,buyvalue,cantrust,cappun,careself,carried,chldidel,chngeoth,chngtme,choices,citworld,class,closeblk,closewht,clsenoam,clsestat,clsetown,clseusa,cntctgov,colath,colcom,coldeg1,colhomo,colmil,colmslm,colrac,colsci,colscinm,compperf,comprend,compuse,conarmy,conbus,conclerg,condemnd,condom,condrift,coneduc,confed,confinan,conjudge,conlabor,conlegis,conmedic,conpress,consci,contv,corruptn,courts,cowrkhlp,cowrkint,crack30,crimlose,cutahead,decsorgs,defpensn,dem10fut,dem10pst,demtoday,denom,denom16,depress,diabetes,directns,discaff,discaffm,discaffw,discpol,divlaw,divorce,dwelown,earnrs,earthsun,effctsup,elecfair,electron,elecvote,emailhr,emailmin,empinput,emptrain,eqwlth,esop,ethnic,evcrack,evidu,evolved,evpaidsx,evstray,evwork,excldimm,expdesgn,exptext,extrapay,extrayr,fair,fairearn,famgen,family16,famvswk,famwkoff,fear,fechld,feelevel,feeused,fefam,fehire,fejobaff,fepol,fepresch,finalter,finrela,forland,form,freetrde,fringeok,frndsex,fucitzn,fund,fund16,getahead,givblood,givchrty,givhmlss,givseat,god,goodlife,govdook,granborn,grass,grpother,grpparty,grprelig,grpsprts,grpwork,gunlaw,gvtrghts,handmove,hapcohab,hapmar,happy,haveinfo,health,health1,hefinfo,height,helpaway,helpblk,helpful,helphwrk,helpjob,helpnot,helpoth,helppoor,helpsick,helpusa,helpwrld,hhtype,hhtype1,hispanic,hivkiss,hivtest,hivtest1,hivtest2,hivvac,hlpequip,hlthall,hlthdays,homosex,hompop,hotcore,hrs1,hrs2,hrsrelax,hsbio,hschem,hsmath,hsphys,hunt,hurtatwk,hvylift,hyperten,idu30,if08who,if12who,ifwrong,immameco,immassim,immcult,immeduc,immideas,immjobs,immrghts,imports,incom16,income,income06,indperf,intecon,inteduc,intenvir,interpol,intfarm,intintl,intlblks,intlincs,intlwhts,intmed,intmil,intrhome,intsci,intspace,inttech,jobfind,jobfind1,jobhour,jobinc,joblose,jobmeans,jobpromo,jobsec,jobsecok,joindem,kidssol,knowschd,knowwhat,laidoff,lasers,learnnew,leftrght,lentto,lessprd,letdie1,letin1,letin1a,libath,libcom,libhomo,libmil,libmslm,librac,life,liveblks,livewhts,loanitem,localnum,maind10,major1,major2,majorcol,manvsemp,maocc10,marasian,marblk,marhisp,marhomo,marital,martype,marwht,matesex,mawrkgrw,mawrkslf,meltpot1,meovrwrk,mincult,misswork,mntlhlth,mobile16,mode,moredays,mustwork,nafta1,nafta2a,nataid,nataidy,natarms,natarmsy,natchld,natcity,natcityy,natcrime,natcrimy,natdrug,natdrugy,nateduc,nateducy,natenrgy,natenvir,natenviy,natfare,natfarey,natheal,nathealy,natmass,natpark,natrace,natracey,natroad,natsci,natsoc,natspac,natspacy,news,newsfrom,nextgen,notvote,ntcitvte,ntwkhard,numemps,nummen,numorg,numwomen,obey,obeylaws,opdevel,oppsegov,oth16,other,othersex,othjew,othlang,othlang1,othlang2,othreasn,othshelp,oversamp,overwork,owngun,ownstock,paidsex,painarms,paind10,paocc10,parborn,parcit,parsol,partfull,partners,partnrs5,partteam,partyid,patriot1,patriot2,patriot3,patriot4,pawrkslf,paytaxes,peocntct,peoptrbl,phase,phone,physhlth,pikupsex,pillok,pistol,polabuse,polactve,polattak,poleff11,poleff18,poleff19,poleff20,polescap,polfunds,polgreed,polhitok,polint1,polinter,polmurdr,polnews,polopts,polviews,popespks,popular,pornlaw,posslq,posslqy,postlife,powrorgs,pray,prayer,premarsx,pres08,pres12,preteen,prodctiv,promtefr,promteok,proudart,prouddem,proudeco,proudemp,proudgrp,proudhis,proudmil,proudpol,proudsci,proudspt,proudsss,racdif1,racdif2,racdif3,racdif4,raclive,racmeet,racopen,racwork,radioact,rank,ratetone,realinc,realrinc,reborn,refrndms,reg16,relactiv,relatsex,relig,relig16,reliten,relmeet,relpersn,res16,respect,respnum,retchnge,revmeet,rghtsmin,richwork,rifle,rincblls,rincom06,rincome,rowngun,safefrst,safehlth,safetywk,satfin,satjob,satjob1,savesoul,scibnfts,scifrom,scinews1,scinews2,scinews3,scistudy,scitext,secondwk,sector,seeksci,selffrst,selfless,servepeo,sexeduc,sexfreq,sexornt,sexsex,sexsex5,shortcom,shotgun,sibs,signdpet,size,slpprblm,socbar,socfrend,socommun,socrel,solarrev,solok,spanking,spden,spdipged,spevwork,spfund,sphrs1,sphrs2,spind10,spkath,spkcom,spkhomo,spklang,spkmil,spkmslm,spkrac,spocc10,spother,sprel,sprtprsn,spsector,spvtrfair,spwrkslf,spwrksta,stockops,stockval,stress,stress12,strredpg,suicide1,suicide2,suicide3,suicide4,supcares,suprvsjb,suphelp,talkedto,talkspvs,tax,teamsafe,teens,teensex,thnkself,toofast,toofewwk,trdestck,trdunion,trust,trustman,trynewjb,tvhours,unemp,union,unrelat,uscitzn,usedup,usemedia,useskill,usetech,usewww,uswar,uswary,valgiven,vetyears,viruses,visitors,voedcol,voednme1,voedncol,voednme2,volchrty,volmonth,vote08,vote12,voteelec,watchgov,waypaid,wealth,webmob,weekswrk,weight,whencol,whenhs,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,whywkhme,widowed,wkageism,wkcontct,wkdecide,wkfreedm,wkharoth,wkharsex,wkpraise,wkracism,wksexism,wksmooth,wksub,wksubs,wksup,wksups,wkvsfam,wlthblks,wlthwhts,workblks,workdiff,workfast,workfor1,workhard,workwhts,wrkgovt,wrkhome,wrksched,wrkslf,wrkstat,wrktime,wrktype,wrkwayup,wrldgovt,wwwhr,wwwmin,xmarsex,xmovie,xnorcsiz,yearsjob,yearval
1,53,1,1,16,1,,9,,59.1,60967.5,60967.5,3,,0,,1,1,2014,1961,,,62,0,4,1,1,1,1,1,1,1,5,1,,,1,,,,1,,,4,1,1,4,2,2,2,1,1,1,2,2,1,1,1,2,1,,,0,,,0,2,,,,4,,,3,,,,,,1,3,6,,,1,,4,3,5,5,2,4,4,2,,4,4,,4,4,4,4,,,,1,,2,1,3,2,2,,2,3,2,2,3,3,2,2,1,1,,2,1,2,,,4,1,,,,,,,2,1,4,1,,,,,,,1,,,,,,,,,,7,,15,2,2,,1,1,,4,,,,,1,3,1,5,4,3,2,,,3,,,,,,1,4,2,1,1,4,1,,2,2,1,6,4,6,6,3,2,,2,1,,,,,,1,,1,,,1,2,1,1,1,72,6,5,2,4,6,5,2,5,5,,,1,4,1,,1,,1,,2,,0,4,1,,60,,2,,,,,4,0,1,2,,3,3,4,2,2,4,2,2,1,4,4,2,12,21,,,,,,,,,4,,,,,,,,,2,,,,,,,1,,6,1,2,1,,2,,6,1,,,3,2,2,2,2,2,2,1,,,6,1,3090,9,,,1,4850,,,,1,3,,,2,1,2,2,,5,0,0,3,1,2,2,3,5,3,,2,,3,2,,2,,2,,2,,1,2,,3,,3,,2,2,2,,1,1,2,3,,,,,,,10,2,0,,10,1,,2,,,,2,,2,,,,1,1,3,2,,1,1,,,0,1,3,1,2,3,1,5,1,2,2,2,,,,1,1,3,0,1,,2,2,,1,,,,,1,,,1,,,2,,,6,5,4,3,4,,,4,6,,,,,0,2,2,4,1,1,1,2,4,1,1,2,1,1,1,,,,,2,,1,2,,5,2,39022.5,39022.5,2,,2,1,1,2,2,2,,4,5,3,1,6,,,2,2,1,21,12,,2,2,1,2,2,2,2,,,,,,,,2,2,,4,5,,,3,3,3,3,1,2,3,,14,3,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,4,,1,,,,,4,,2,,,,,2,1,1,4,,2,2,0,,5,,4,,4,2,2,3,,1,4,,,3,,2,0,,,,500,2,,0,2,,,,6,2,2,2,,,3,,,52,190,1989,,2,2,2,2,2,1,3,2,2,7,2,1,2,2,3,2,2,2,2,,1,4,3,,,,2,2,,3,,2,2,1,1,1,2,1,,2,,,1,1,6,26,
2,26,2,1,16,1,16,14,16,61.9,60967.5,160742.2178,3,3,2,3,1,1,2014,1988,32.6,68.6,84.2,0,5,2,2,1,2,2,2,2,3,,,,2,,,,1,1,1,3,3,2,3,1,1,5,1,1,2,1,4,1,5,1,4,2,,,7,,,0,2,,,,2,,,2,,,,,,2,5,6,,,2,,5,3,4,9,1,3,4,1,,4,4,,4,5,5,5,,,,1,,1,2,3,3,2,,3,2,1,1,1,2,2,2,2,1,,3,2,1,,,6,2,,,,,,,1,2,5,3,,,,,2,,2,,4,,,,,,,,2,,10,2,2,,2,2,,2,,,,,1,1,1,1,4,1,2,,50,1,,,,,,1,4,2,1,1,1,,,2,2,1,6,3,5,5,6,1,,1,1,,,,,,1,,2,,1,1,2,1,1,1,60,4,5,2,6,5,4,1,3,3,,,3,1,1,2,2,,,2,1,,0,4,2,,40,,4,,,,,4,0,2,2,,,,4,2,2,4,1,2,4,4,4,3,12,25,,,,,,,,,2,,,,,,,,,2,,,,,,,1,,2,4,2,2,,1,,5,5,,,3,2,2,2,2,1,1,1,,,6,2,8190,42,13,,2,3255,,,,1,1,1,,1,1,2,1,,4,0,0,3,1,3,2,1,1,3,,2,,2,1,,1,,2,,1,,1,2,,1,,3,,1,2,1,,1,2,1,,,,,,,,50,,7,,0,4,,2,,,,,,2,,,,4,1,1,2,,,2,9160,20,0,1,1,1,1,5,1,5,1,3,1,4,2,,,3,2,3,0,,,2,2,,1,,,,,1,,,1,,,2,,,5,1,5,2,1,,1,3,2,,,2,2,0,1,2,2,2,2,3,1,1,1,1,2,,2,2,,,,,2,,2,2,,5,1,134817.4399,39022.5,2,,2,3,1,2,2,1,,1,3,1,1,6,,,2,2,1,21,12,,1,1,1,1,2,2,1,,,,,,,,2,1,,5,4,,,6,3,1,1,3,2,3,,14,2,,,,,,,,,1,,2,75,,9290,2,2,1,,2,2,2,4000,,2,1,2,1,2,1,,,2,,2,,,,,1,2,1,4,4,1,1,0,,3,,1,,2,1,1,2,,1,4,0,,3,,2,100,,,,600,0,,0,2,,,,4,2,1,1,,,1,,,52,97,2010,,2,2,2,2,2,1,,2,2,3,1,2,2,2,1,2,2,1,1,3,2,,4,,,,1,2,,2,,2,1,1,2,1,1,5,,2,,,1,2,6,3,
3,59,1,1,13,1,,12,,38.1,,33255,1,,1,,,1,2014,1955,,,43.9,1,,2,2,1,2,2,2,2,,,5,3,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,3,3,2,0,,,,2,,,,2,,,5,,3,1,,,2,2,,2,,2,5,1,,,,,3,4,5,,5,4,4,4,,,,1,2,,,,,2,,,,,,,,,,,,4,3,,,3,3,,,,6,7,7,32,32,,,,2,,4,2,3,,1,1,,,2,,2,,,,,,,11,1,1,,2,1,,,,,,,,,1,5,,,2,1,,3,4,5,,2,4,2,2,,2,,,,,1,1,2,,,,,5,,3,4,,3,2,2,3,2,2,6,,,,3,,2,,1,,,,,,,,,,,6,7,1,4,1,,1,200008,3,,,6,,2,1,,,,,,,,,4,,,,4,,,,,,,,,,,,2,12,18,,,,,,,,5,,6,,,,,,,,,5,2,,1,4,3,,3,,,,,,,7,,,1,5,,2,2,2,2,2,2,3,3,3,,,2980,,,,,8965,3,3,3,2,3,,3,1,1,2,,1,,,,1,1,,,,,,3,,2,2,,2,,2,,2,,2,1,,1,,2,,2,2,2,,3,1,2,2,,2,2,,,7,3,,,0,,17,,6,,5,,,,,2,,,5,,1,,2,,,,,,2,,,2,1,2,,6,,,,,,6,1,,1,3,,,3,2,,2,,2,2,2,3,,2,2,,2,3,,2,5,5,,,,,4,1,,2,2,3,2,2,0,,,,,,,,,,,,,,,2,2,2,1,1,1,1,,,6,2,21285,,2,2,1,1,1,1,1,1,1,2,3,,1,,1,5,2,2,,,,,,,,3,1,,1,,,,,,,,,,,,,3,1,3,3,3,3,,2,3,2,14,,2,1,2,4,,5,1,,,,,,,,1,1,1,,1,1,1,,,,1,,,,,,,,,,1,1,2,1,,,,,,2,,0,3,,,,,,,,,4,,,,,,3,,,,,1,,0,,0,2,,,,,,1,1,6,5,,,2,13,,,1973,2,2,2,2,2,1,,2,,,,,,,,,,,,,,,,6,4,5,,,,,3,2,,,2,4,,,2,,,,2,,6,,
4,56,2,1,16,1,12,12,16,73.9,10161.25,160742.2178,3,1,1,3,,1,2014,1958,78.3,31.1,,2,,,,,,,,,,,4,3,3,1,2,3,3,1,1,,,,,,,,,,,,,,,,,2,2,3,3,4,4,0,2,,1,3,,2,2,2,1,2,5,,2,2,,,3,4,1,3,,3,,,,,,,4,,,2,,,,,1,1,,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,3,2,2,,6,,,2,7,7,7,,,2,2,,,,2,3,2,2,1,3,1,4,3,,2,25,0,2,2,5,,15,2,2,2,2,2,,,1,7,2,,2,3,2,1,3,2,,1,,3,4,4,,2,3,1,4,,2,,4,,,2,2,,,,,,5,4,3,4,2,2,2,1,3,4,,5,1,,1,1,1,,2,1,68,,4,1,,,3,3,4,4,3,3,141,11,1,2,2,,,2,2,5,0,,4,1,20,,3,1,1,7,2,,0,2,2,,,,,,,,,,,,,2,12,25,,2,1,2,,3,3,4,,4,1,3,1,1,3,2,3,3,,,4,,,,1,4,3,4,2,2,1,3,5,,,1,5,,,,,,,,,3,3,,1,,1,,1,2,,3,3,3,,1,1,2,,2,,,4,,0,0,3,1,4,2,,,,2,,2,2,,2,,1,,1,,1,1,,1,,2,,1,2,2,,1,2,1,2,,2,1,5,2,2,2,0,,3,9982,0,5,7,3,4,,,,,1,10,2,6,,1,3,,2,,2,1990,8255,0,,1,2,0,1,2,5,,,,,2,7,3,,1,3,0,,3,,2,3,,2,3,4,1,2,4,3,2,4,4,2,7,4,4,1,4,1,,1,1,,5,2,4,1,2,0,2,3,3,,,,2,,,,,,,,2,2,1,2,2,2,,,,4,2,134817.4399,6503.75,2,3,2,1,1,2,2,2,2,2,3,2,2,,3,6,,,2,10,9,,2,2,2,1,1,1,2,1,5,,,,3,,2,,3,,,2,1,0,3,,1,,,3,2,14,3,5,4,5,5,3,3,4,22,1,,3,40,,3360,,,,4,,,,710,,1,4,1,2,2,1,,,4,,2,1,2,2,2,2,2,2,,4,,2,1,1,1,3,3,2,3,1,2,3,2,2,4,,,4,4,3,90,,1,,,0,2,0,2,,,,,,1,1,7,,2,9,,52,160,1980,,2,2,2,2,2,1,,2,2,1,3,1,2,2,1,2,2,2,1,4,2,,3,5,4,4,2,1,1,2,4,2,1,1,2,2,2,5,2,,2,0,,2,6,2,
5,74,2,1,17,1,8,17,15,76.3,,,3,0,4,1,1,1,2014,1940,35.3,32,71.8,3,5,2,1,1,2,2,1,2,2,,,,2,,,,1,1,1,2,1,1,2,1,1,5,1,1,1,1,2,1,5,1,5,,,,4,,,0,,,,,1,,,2,,,,,,2,4,5,,,,,5,3,7,9,2,3,2,1,,5,5,,4,4,4,5,,,,1,,1,2,2,,,,2,2,2,2,2,3,1,2,1,2,,3,,,,,3,5,,,,,,50,,,4,2,,,,,2,,0,,,,,,,,,,6,,14,2,2,,2,2,1,2,,,,,2,,1,1,,,2,,,3,,,,,,3,3,4,1,2,,,,2,3,2,6,3,6,5,6,3,,4,1,,,,,,1,,,,1,1,,1,,2,,4,3,1,4,6,3,1,2,2,,,3,1,1,1,2,,,1,,,,3,2,,,,,,,,,4,,,,,,,1,2,2,5,1,1,2,4,2,4,.a,.a,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,6,5,,,3,2,2,2,2,2,2,1,,,4,,8190,33,69,,,350,,,,3,1,1,,1,1,2,2,,3,,,3,1,,,3,3,3,,2,,1,1,,1,,1,,1,,1,2,,2,,1,,1,2,2,,1,1,2,2,,,,,,,,,1,,0,4,,,,,,,,2,,,,1,1,,2,,,,1170,9130,1,1,2,,1,1,,3,1,5,1,5,2,,,2,2,3,,,,2,2,,1,,,,,1,,,1,,,2,,,4,2,5,2,1,,1,2,2,,,1,1,0,,,,1,1,1,,1,2,1,1,1,1,1,,,,,2,,2,,,4,1,,,2,,2,5,1,2,1,2,,2,6,,2,4,,,,2,,,,,,,,1,,,2,,,,,,,,,1,,4,4,,,,3,1,1,2,2,0,,14,,,,,,,,,,1,1,2,,,6370,1,1,1,,1,1,1,7210,,2,2,,,2,5,,,,,,,,,,,,,1,,1,,0,,3,,,,,2,,,,2,3,0,,,,,,,,,1500,0,,0,2,,,,3,1,1,1,,,,,,0,,1966,,2,2,2,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,1,,,2,5,,,,4,,,2,2,6,,
6,56,2,1,17,1,16,14,14,52,158656.952,160742.2178,3,3,1,2,,1,2014,1958,77.4,77.4,,1,,1,1,1,1,1,1,1,,,4,2,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,,,,3,,,2,2,,,6,,2,1,,,2,4,,4,,3,5,9,,,,,2,4,4,,4,4,5,5,,,,1,1,,,,,,,,,,,,,,,,,4,2,,,,7,,,2,7,7,5,50,50,,,,3,,2,2,2,1,1,2,,,2,,4,5,0,1,1,,,.u,,,,,,,,,,2,,,,1,1,,,2,2,,3,3,4,,2,3,2,4,,2,,,,,3,3,1,,,,,6,,2,0,,1,2,2,1,1,1,7,,,1,2,,1,,1,,,,,,,,,,,6,5,3,1,1,,,,,,,3,,4,2,,60,,,,,,,4,,,,,,,,,,,,,,,,4,12,25,,,,,,,,4,,4,,,,,,,1,,3,1,4,2,5,4,,2,,,,,,,6,,,1,5,,2,2,2,2,2,2,1,3,3,,3,,18,,,,,3,3,3,1,1,1,1,,2,,,4,,,,2,2,,,,,,3,,2,1,,2,,2,,2,,1,1,,1,,2,,2,1,2,,2,1,2,2,,1,1,,,6,5,,50,,50,,,7,,1,,,,,1,2,10,6,,1,,2,3,,,770,10,0,,,1,,,,6,,,,,1,7,4,,1,4,,,1,2,,2,,1,1,2,4,,1,4,,2,4,,2,4,5,,,,,1,1,,3,2,4,2,2,0,,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,,1,,134817.4399,132148.0739,2,3,1,3,,1,1,2,1,2,3,,1,,3,7,1,2,,25,12,,,,,2,2,,2,,,,,,,,,2,,,,2,1,,,,,,2,3,2,14,,4,2,4,2,,5,3,,1,,2,60,,770,1,1,1,2,1,2,1,10,,2,2,2,,1,1,2,,,,,,2,2,2,,,,,,2,,0,1,,,,2,,,,,1,,,0,,,4,,,,,2,,0,,0,2,,,,,,1,1,7,7,,10,,52,,1981,,2,2,2,2,2,2,,2,,,,,,,,,,,2,,1,3,,5,4,5,,,1,,3,2,,,1,1,,,1,,10,0,1,,6,,
7,63,1,1,12,1,,,,,,,1,0,,0,,1,2014,1951,,20.7,19.6,2,,,,,,,,,,,7,3,2,1,4,4,2,,,,,,,,,,,,,,,,,,,,2,3,3,4,3,0,,,1,1,,1,,1,1,2,2,,4,1,,,8,1,,2,,,,,,,,,2,,,,,,,,2,,,1,1,1,2,2,,,1,3,3,3,2,3,2,2,3,3,3,4,,,,,7,,,,7,7,7,,,,,,,,2,1,,,1,1,1,,4,1,4,0,0,,,6,,.u,,,2,,,,,,,,,1,,1,1,,,,,20,1,3,3,,2,1,2,,,2,,,,,2,2,,,,,,6,5,4,,1,,,1,,,,7,,,1,2,,,,1,,,5,2,,,5,2,5,3,5,5,3,1,1,,,,,,,1,,,2,1,,,,2,2,3,2,,,,,,,,,,,,,,,,,2,.a,.a,,1,3,1,,2,1,,,,1,1,1,1,1,1,,,,,,,,,,4,4,,,,2,,8,,,1,3,,,,,,,,,5,5,,,8680,,,,,4110,,,,,1,1,,,1,2,,2,,,,3,1,,,,,,3,,1,3,,2,,2,,2,,3,2,,,,3,,3,3,2,,3,3,2,,,1,5,5,2,7,1,,,,,,4,7,,7,,,,,2,,,7,,1,,,,,,7690,4220,1,,1,1,,,,6,,,,,2,7,1,,1,2,,,4,,2,2,1,4,2,1,5,1,1,3,1,1,4,1,3,7,6,3,5,2,,1,1,,5,2,4,,,0,,,,,,,,,,,,,,,2,,2,1,1,1,,,2,5,1,,,2,2,2,1,,2,2,3,1,2,6,,1,,1,,,,,.a,.a,,,,,3,,,2,1,5,,,,1,,,,3,,,3,1,,,,,,,1,4,14,,4,2,2,3,3,7,1,,,,,,,.b,,,,,,,,,,,1,,,,7,,,,,,1,1,1,1,,,,,,,,0,1,3,3,,,,2,,,4,,4,0,,,4,,,1,1,,,0,2,0,,,1,10,,,1,1,7,7,,,,52,,,,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,0,,2,6,,
8,34,1,1,17,1,12,12,20,69.3,24017.5,60967.5,4,1,1,4,,1,2014,1980,92.8,18.8,13.3,2,,,,,,,,,,,5,4,3,1,4,4,3,,,,,,,,,,,,,,,,,,,,2,3,3,4,1,0,,,1,2,,2,1,2,,1,7,,3,1,,,8,4,,1,,2,,,,,,,4,,,3,,,,,1,1,1,1,1,2,2,2,,,1,3,3,3,3,3,3,2,3,1,3,5,2,,,,7,,,1,1,2,2,,70,,,,,,2,2,2,2,1,2,1,,5,1,3,2,0,2,1,4,,24,,,1,,,,,2,1,1,2013,1,,6,1,,,,2,20,1,4,5,,2,3,3,3,,2,,,,,2,2,,,,,,6,5,4,0,2,4,4,2,3,4,,5,,,1,1,,,,2,,,5,2,,,5,4,4,3,4,3,141,11,1,,,,,,,6,,,5,1,40,,,1,2,4,2,,,,,,,3,,,,,,,,,,3,12,21,1,2,2,1,,3,3,4,,4,1,2,1,1,2,1,3,,,,3,,,,,3,1,,,,2,,5,,,1,3,,,,,,,,,2,2,,1,7860,9,,9,,4130,1,1,1,,1,1,1,,1,2,,2,,,,3,1,,,,,,3,,2,3,,3,,2,,2,,3,1,,1,,3,,,2,2,,2,1,1,2,,2,2,3,2,7,6,,,,1000,,2,7,,4,,,,,1,2,,7,,1,,,2,,,4970,7810,0,,3,1,,,,,,,,,2,5,4,,1,3,,,2,,2,4,1,1,1,1,2,1,4,1,1,2,4,1,2,7,4,5,5,2,,1,1,,5,1,4,3,,2,,,,,,,,,,,,,,,2,2,2,1,1,1,,,2,5,1,39022.5,15372.5,2,4,9,4,,2,11,3,1,2,5,,1,,1,1,,,,16,12,,,,,2,2,,2,1,3,,,1,1,5,,2,3,,,4,1,,,,,,,1,2,24,,7,3,7,6,3,7,1,,1,,2,60,,8190,,,,2,,,,3060,,2,2,2,,2,1,,,,,,2,2,2,2,,,,,,,,0,1,1,3,,1,,2,,,2,1,4,0,,,4,,,,1,,,0,2,0,1,10,,,,,1,2,3,7,,6,,52,,2008,,2,2,1,2,2,2,,2,,,,,,,,,,,1,3,2,,,6,3,4,,,1,3,4,2,,,2,1,,,1,,1,0,,2,2,,200
9,37,2,1,10,,,9,,,,12008.75,0,,0,,,1,2014,1977,,,13.6,4,,2,2,1,2,2,1,2,,,1,4,1,3,4,,3,2,1,,,,,,,,,,,,,,,,,,1,2,0,4,,0,,,1,1,,3,,2,2,2,5,,4,1,,,,4,,4,,1,9,9,,,,,4,4,,,5,,5,4,2,,,2,,1,,,,2,1,3,3,2,,2,,2,1,,2,3,2,,,,1,,,,,,,,,,,,1,,,4,,,,0,1,,,,,,,,,1,,15,2,2,1,2,3,2,,,,,,1,,2,5,,,1,,20,1,,,,,,2,2,,2,,,,,2,2,2,,,,,6,4,4,2,1,4,4,2,4,4,1,,,,,3,,4,,1,,,3,2,,,3,4,1,1,1,1,2,2,1,2,2,,,2,,7,,1,4,1,,,,,2,,2,4,,,,,3,3,,,,,,,,,,3,10,11,,3,2,3,,3,3,,,,1,3,1,3,3,1,,,,,,,,,,4,2,,,,,,5,,,,,,2,,1,,2,2,3,,,,,7860,,,,,4020,,,,5,5,,,1,1,2,,,,,,1,1,,,,,,3,,,2,,,,1,,2,,3,1,,2,,1,,1,3,1,,2,,,1,,,,3,1,7,5,,,5,,0,3,5,,7,,,,,2,,,7,,1,,2,,,,,,0,,5,,1,1,,3,,,,,,,2,,1,6,,,,2,2,4,2,1,1,,1,1,4,3,,4,4,2,6,1,4,3,5,2,,3,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,3,2,,2,10,1,7686.25,,2,,2,1,1,2,2,1,2,2,3,,1,,2,7,,2,,,,,,,,3,,,1,1,3,,,11,3,,,,3,,,,,3,3,1,1,,2,2,2,24,,,,,,3,7,,,,,,,,,1,,2,,,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,2,,,,2,4,0,,,4,,,,,,,0,1,0,,,2,,,,2,2,1,1,,,,0,,,,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,8,,,,,,,1,2,2,,
10,30,2,3,15,1,,10,12,39.6,33255,73900,2,,0,1,,1,2014,1984,32.6,,43.9,3,,1,1,1,1,1,1,1,,,5,3,2,2,3,,1,1,1,,,,,,,,,,,,,,,,,,2,2,3,4,1,0,,,2,2,,2,1,2,1,1,4,,3,2,,,,3,,2,,2,9,9,,,,,4,4,5,1,4,4,,4,2,,,2,,2,3,3,,2,1,2,3,3,2,2,3,2,2,2,3,3,2,,,,1,,,1,5,6,6,,,,,,2,,,2,,2,,2,1,,2,1,2,,,1,1,4,,17,2,2,1,2,2,,,2,2,2,,1,,1,5,,,2,,75,1,,,,,,1,3,,2,,,,,2,2,1,,,,,4,2,4,4,1,4,4,2,4,4,1,7,,,1,1,,1,,2,,,5,2,,,3,3,1,3,7,5,3,1,2,2,1,201401,4,2,,7,,4,2,1,55,,,1,1,4,2,4,,,,,,,,,,,,,,,,1,12,22,,2,1,2,,2,2,,,,1,2,1,2,3,3,,,,,,,,,,4,1,,,,2,,5,,,,,,2,2,2,2,2,2,1,,,,2,1480,61,,61,,8965,,,,2,1,1,,1,1,2,,,,,,2,2,,,,,,3,,1,1,,2,,1,,,,1,,,1,,1,,1,1,2,,,2,1,1,,,,3,,7,3,,,3,200,0,5,5,,3,,,,,1,2,,5,,1,,2,,,,,,8,,1,1,1,2,,3,,,,,,6,4,,1,6,,,,2,2,3,1,2,4,2,2,,4,4,1,3,4,2,4,7,3,3,4,2,,1,2,,5,,,1,1,0,,,,,,,,,,,,,,,,,,,1,2,2,3,2,6,,47300,21285,2,,2,4,1,2,2,2,2,3,6,,2,,2,7,1,2,,18,12,,,,,2,1,,2,1,6,,,,1,2,,4,6,,,2,,5,3,1,1,,2,3,1,24,,,,,,,7,,,1,,3,60,,8680,1,1,1,1,1,1,1,4000,,4,3,,,2,1,,,,,,,,,,,,,,,2,,0,,1,3,,2,,1,,,,1,4,0,,,4,,,,,,,0,2,0,1,10,,,,,1,1,6,7,,6,,52,,2012,,2,2,2,2,2,1,,2,,,,,,,,,,,1,3,1,3,,,,,,,2,2,,2,,,2,1,,,,,,,1,2,2,,
